state,hc_uninsured_rate,pov_house_income_thousands,pov_rate,unemployment_rate,income_per_capita
AL,12.1,905,16.8,3.8,23606
AK,17.2,81,12.1,7.3,33062
AZ,13.6,1195,21.3,4.9,25715
AR,11.8,539,19.1,3.8,22883
CA,12.4,6253,15.5,4.3,30441
CO,10.3,632,12.4,3.0,32357
CT,6.9,376,10.6,4.5,39373
DE,7.8,118,12.4,4.3,30488
FL,16.6,3231,14.6,3.9,26582
GA,15.8,1298,18.5,4.4,25615
HI,5.3,158,12.6,2.1,29736
ID,13.6,237,13.9,2.9,23938
IL,9.7,1802,13.3,4.6,30417
IN,11.9,968,16.4,3.2,25140
IA,6.2,368,10.9,2.8,28361
KS,10.2,381,13.9,3.4,27870
KY,8.5,812,17.1,4.0,23684
LA,8.5,898,14.3,4.4,24800
ME,10.1,181,11.6,2.7,27978
MD,7.9,604,9.6,4.3,36338
MA,3.3,760,10.9,3.5,36593
MI,8.5,1567,27.6,4.7,26613
MN,5.9,607,12.1,3.2,32638
MS,14.5,634,23.2,4.5,21036
MO,11.7,908,15.6,3.6,26126
MT,14.2,151,13.5,4.1,25989
NE,9.7,167,10.0,2.8,27446
NV,15.2,430,13.1,4.9,25773
NH,9.2,117,9.5,2.6,34691
NJ,10.9,972,13.7,4.6,37288
NM,14.5,347,19.6,5.6,23683
NY,8.7,2760,15.9,4.6,33095
NC,13.1,1663,17.0,4.5,25774
ND,7.9,79,11.0,2.6,33071
OH,8.4,1778,13.5,4.4,26937
OK,15.4,623,13.0,4.0,25229
OR,9.7,637,7.1,4.1,27646
PA,8.5,1679,11.2,4.8,29220
RI,7.4,149,13.2,4.5,30830
SC,13.6,838,13.8,4.4,24596
SD,9.8,115,14.3,3.4,26959
TN,12.0,1165,16.7,3.4,24922
TX,19.1,4519,17.4,4.0,27125
UT,12.5,341,9.8,3.1,24877
VT,5.0,72,9.7,2.8,29178
VA,10.9,955,10.8,3.4,34052
WA,9.2,913,11.9,4.8,31841
WV,8.6,328,16.0,5.4,22714
WI,7.3,737,11.1,2.9,28213
WY,12.0,54,9.3,3.9,29698
